ядра 	потоки	 время
1	1	2848 ms
1	2	4113 ms
1	3	3358 ms
1	4	3127 ms
1	5	3231 ms
1	6	3189 ms
1	7	2906 ms
1	8	2906 ms
1	9	2996 ms
1	10	4436 ms
1	11	2988 ms
1	12	2982 ms
1	13	2772 ms
1	14	2850 ms
1	15	2859 ms
1	16	2843 ms
2	1	2700 ms
2	2	3831 ms
2	3	3284
2	4	3077
2	5	3021
2	6	2917
2	7	2867
2	8	2811
2	9	2777
2	10	2738
2	11	2731
2	12	2712
2	13	2676
2	14	2671
2	15	2654
2	16	2654
3	1	3144
3	2	3681
3	3	1699
3	4	2587
3	5	2621
3	6	1704
3	7	2070
3	8	2338
3	9	1559
3	10	2051
3	11	2218
3	12	1752
3	13	1919
3	14	2092
3	15	1666
3	16	1913
4	1	2587
4	2	3758
4	3	1948
4	4	2549
4	5	2266
4	6	2383
4	7	1662
4	8	1832
4	9	1941
4	10	2054
4	11	1678
4	12	1695
4	13	1664
4	14	1881
4	15	1536
4	16	1566
